# blcSz 1k      4k      16k     64k     256k  
16	15	8.6	4	2	1.1
32	13.3	7.24	2.9	1.35	0.7
64	13.76	7	2.64	1.06	0.5
128	16.64	7.78	2.77	1.02	0.49
256	22	9.51	3.29	1.15	0.49
